Id,UPC/SKU,Name,Description,Type,Price,Cost,MSRP,OnHand,Location,MinQty,Taxable1,Taxable2,GroupAtSale,Active,Categories,Favorites,Notes,NotesType
"385","","Colgate advance white 100ml x12","","S",12,9.9,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"386","","Colgate triple action 100ml x12","","S",10,8,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"387","","Colgate junior strawberry 50ml x12","","S",8,5.5,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"388","","Colgate junior bubble fruit 50ml x12","","S",8,0,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"389","","Listerine coolmint 250ml x6 (mouth wash)","","S",9.5,7.2,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"400","","Listerine total care 250ml x6 (mount wash)","","S",9.5,7.5,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"401","","Listerine freshburst 250ml x6 (mouth wash)","","S",9.5,7.2,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"402","","Reach toothbrush stay white x12","","S",9.5,0,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"403","","Colgate kids toothbrush x12","","S",8,0,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"404","","Colgate zigzag toothbrush x12","","S",6,4.5,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"405","","Colgate maxwhite 12x100ml","","S",12,8.5,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"406","","Colgate total massager toothbrush x12","","S",9,0,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"407","","Colgate total professional toothbrush x12","","S",9,0,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"408","","Oral B toothbrush x12","","S",8,0,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"409","","Status bulbs bayonet cap 40W  x10","","S",6.5,4.8,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"410","","Status bulbs bayonet cab 70W  X10","","S",6.5,4.8,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"411","","Status bulbs bayonet cab 100W  X10","","S",6.5,4.8,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"412","","Status bulbs screw cap 40W X10","","S",6.5,4.8,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"413","","Status bulbs screw 60W. X10","","S",6.5,4.8,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"414","","Status bulbs screw 100W  X10","","S",6.5,4.8,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"415","","Status candle bulbs sec 28W  X10","","S",7,5,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
